"year","event_id","state","month","event","injuries","deaths","damage","damage_num","damage_mod","begin_loc","end_loc","begin_lat","begin_lon","end_lat","end_lon","county","state_fips","county_fips","damage_cpi","CPI","cpi_adj"
1996,5542296,"West Virginia","January","Flood",0,0,".3M",0.3,"M","","",NA,NA,NA,NA,"Upshur",54,39,485250,100,1.6175
1996,5544502,"West Virginia","January","Flood",0,0,"1.65M",1.65,"M","","",NA,NA,NA,NA,"Marshall",54,4,2668875,100,1.6175
1996,5542297,"West Virginia","January","Flood",0,0,"2.5M",2.5,"M","","",NA,NA,NA,NA,"Pocahontas",54,46,4043750,100,1.6175
1996,5542298,"West Virginia","January","Flood",0,0,"1M",1,"M","","",NA,NA,NA,NA,"Randolph",54,47,1617500,100,1.6175
1996,5561316,"Kentucky","April","Flash Flood",0,0,"2K",2,"K","Countywide","Countywide",NA,NA,NA,NA,"Boone",21,15,3235,100,1.6175
1996,5561317,"Kentucky","April","Flash Flood",0,0,"2K",2,"K","Countywide","Countywide",NA,NA,NA,NA,"Kenton",21,117,3235,100,1.6175
1996,5544526,"West Virginia","January","Flood",0,0,".71M",0.71,"M","","",NA,NA,NA,NA,"Preston",54,23,1148425,100,1.6175
1996,5541988,"North Carolina","January","Flash Flood",0,0,".04M",0.04,"M","Countywide","Countywide",NA,NA,NA,NA,"Wilkes",37,193,64700,100,1.6175
1996,5536017,"Georgia","January","Flash Flood",0,0,"1K",1,"K","Blue Ridge","Blue Ridge",NA,NA,NA,NA,"Fannin",13,111,1617.5,100,1.6175
1996,5542090,"West Virginia","January","Flash Flood",0,0,"5K",5,"K","Countywide","Countywide",NA,NA,NA,NA,"Lewis",54,41,8087.5,100,1.6175
1996,5542729,"West Virginia","January","Flash Flood",0,0,".4M",0.4,"M","Countywide","Countywide",NA,NA,NA,NA,"Greenbrier",54,25,647000,100,1.6175
1996,5542730,"West Virginia","January","Flash Flood",0,0,".28M",0.28,"M","Countywide","Countywide",NA,NA,NA,NA,"Monroe",54,63,452900,100,1.6175
1996,5542081,"West Virginia","January","Flash Flood",0,0,"5K",5,"K","Countywide","Countywide",NA,NA,NA,NA,"Lincoln",54,43,8087.5,100,1.6175
1996,5542082,"West Virginia","January","Flash Flood",0,0,"5K",5,"K","Countywide","Countywide",NA,NA,NA,NA,"Harrison",54,33,8087.5,100,1.6175
1996,5542083,"West Virginia","January","Flash Flood",0,0,".25M",0.25,"M","Countywide","Countywide",NA,NA,NA,NA,"Pocahontas",54,75,404375,100,1.6175
1996,5542084,"West Virginia","January","Flash Flood",0,0,".2M",0.2,"M","Countywide","Countywide",NA,NA,NA,NA,"Webster",54,101,323500,100,1.6175
1996,5542086,"West Virginia","January","Flash Flood",0,0,".15M",0.15,"M","Countywide","Countywide",NA,NA,NA,NA,"Nicholas",54,67,242625,100,1.6175
1996,5576247,"West Virginia","January","Flash Flood",0,0,"40K",40,"K","Fairmont","Fairmont",NA,NA,NA,NA,"Marion",54,49,64700,100,1.6175
1996,5542733,"West Virginia","January","Flash Flood",0,0,".4M",0.4,"M","Countywide","Countywide",NA,NA,NA,NA,"Mercer",54,55,647000,100,1.6175
1996,5551498,"West Virginia","June","Flash Flood",0,0,"30K",30,"K","Lewisburg","Lewisburg",NA,NA,NA,NA,"Greenbrier",54,25,48525,100,1.6175
1996,5557774,"Kentucky","July","Flash Flood",0,0,"20K",20,"K","La Center","Kevil",NA,NA,NA,NA,"Ballard",21,7,32350,100,1.6175
1996,5561212,"West Virginia","June","Flash Flood",0,0,"45K",45,"K","W Portion","W Portion",NA,NA,NA,NA,"Pendleton",54,71,72787.5,100,1.6175
1996,5561213,"West Virginia","June","Flash Flood",0,0,"15K",15,"K","Sw Portion","Sw Portion",NA,NA,NA,NA,"Hampshire",54,27,24262.5,100,1.6175
1996,5552043,"Georgia","July","Flash Flood",2,0,"1M",1,"M","Savannah","Savannah",NA,NA,NA,NA,"Chatham",13,51,1617500,100,1.6175
1996,5555931,"Tennessee","May","Flood",0,0,"5K",5,"K","","",NA,NA,NA,NA,"Dyer",47,19,8087.5,100,1.6175
1996,5551479,"North Carolina","June","Flash Flood",0,0,"10K",10,"K","Mount Airy","Mount Airy",NA,NA,NA,NA,"Surry",37,171,16175,100,1.6175
1996,5555071,"West Virginia","May","Flash Flood",0,0,".25M",0.25,"M","Countywide","Countywide",NA,NA,NA,NA,"Barbour",54,1,404375,100,1.6175
1996,5555072,"West Virginia","May","Flash Flood",0,0,"40K",40,"K","Tanner","Tanner",NA,NA,NA,NA,"Gilmer",54,21,64700,100,1.6175
1996,5555073,"West Virginia","May","Flash Flood",0,0,".1M",0.1,"M","Countywide","Countywide",NA,NA,NA,NA,"Harrison",54,33,161750,100,1.6175
1996,5555074,"West Virginia","May","Flash Flood",0,0,"50K",50,"K","Countywide","Countywide",NA,NA,NA,NA,"Lewis",54,41,80875,100,1.6175
1996,5553916,"Kentucky","May","Flash Flood",0,0,"1K",1,"K","Cottle","Cottle",NA,NA,NA,NA,"Morgan",21,175,1617.5,100,1.6175
1996,5553917,"Kentucky","May","Flash Flood",0,0,"1M",1,"M","Belfry","Belfry",NA,NA,NA,NA,"Pike",21,195,1617500,100,1.6175
1996,5553919,"Kentucky","May","Flash Flood",0,0,"10K",10,"K","Arjay","Arjay",NA,NA,NA,NA,"Bell",21,13,16175,100,1.6175
1996,5550974,"Alabama","June","Flash Flood",0,0,"10K",10,"K","Florence","Florence",NA,NA,NA,NA,"Lauderdale",1,77,16175,100,1.6175
1996,5558136,"Tennessee","July","Flash Flood",0,0,"1K",1,"K","Woodbury","Woodbury",NA,NA,NA,NA,"Cannon",47,15,1617.5,100,1.6175
1996,5551383,"Tennessee","June","Flash Flood",0,0,"5K",5,"K","Readyville","Readyville",NA,NA,NA,NA,"Cannon",47,15,8087.5,100,1.6175
1996,5555472,"West Virginia","May","Flash Flood",0,0,"25K",25,"K","Countywide","Countywide",NA,NA,NA,NA,"Cabell",54,11,40437.5,100,1.6175
1996,5555473,"West Virginia","May","Flash Flood",0,0,".15M",0.15,"M","Countywide","Countywide",NA,NA,NA,NA,"Wayne",54,99,242625,100,1.6175
1996,5555474,"West Virginia","May","Flash Flood",0,0,".15M",0.15,"M","Countywide","Countywide",NA,NA,NA,NA,"Lincoln",54,43,242625,100,1.6175
1996,5555475,"West Virginia","May","Flash Flood",0,0,".3M",0.3,"M","Countywide","Countywide",NA,NA,NA,NA,"Mingo",54,59,485250,100,1.6175
1996,5555476,"West Virginia","May","Flash Flood",0,0,".2M",0.2,"M","Countywide","Countywide",NA,NA,NA,NA,"Boone",54,5,323500,100,1.6175
1996,5555477,"West Virginia","May","Flash Flood",0,0,".4M",0.4,"M","Countywide","Countywide",NA,NA,NA,NA,"Mcdowell",54,47,647000,100,1.6175
1996,5555478,"West Virginia","May","Flash Flood",0,0,".3M",0.3,"M","Countywide","Countywide",NA,NA,NA,NA,"Wyoming",54,109,485250,100,1.6175
1996,5555479,"West Virginia","May","Flash Flood",0,0,"50K",50,"K","Countywide","Countywide",NA,NA,NA,NA,"Raleigh",54,81,80875,100,1.6175
1996,5555480,"West Virginia","May","Flash Flood",0,1,"3.5M",3.5,"M","Countywide","Countywide",NA,NA,NA,NA,"Logan",54,45,5661250,100,1.6175
1996,5555481,"West Virginia","May","Flash Flood",0,0,"20K",20,"K","Countywide","Countywide",NA,NA,NA,NA,"Webster",54,101,32350,100,1.6175
1996,5555482,"West Virginia","May","Flash Flood",0,0,"20K",20,"K","Countywide","Countywide",NA,NA,NA,NA,"Randolph",54,83,32350,100,1.6175
1996,5555483,"West Virginia","May","Flash Flood",0,0,"15K",15,"K","Countywide","Countywide",NA,NA,NA,NA,"Pocahontas",54,75,24262.5,100,1.6175
1996,5563158,"West Virginia","June","Flash Flood",0,0,"5K",5,"K","Wellsburg","Wellsburg",NA,NA,NA,NA,"Brooke",54,9,8087.5,100,1.6175
1996,5563162,"West Virginia","June","Flash Flood",0,0,"10K",10,"K","Follansbee","Follansbee",NA,NA,NA,NA,"Brooke",54,9,16175,100,1.6175
1996,5555932,"Tennessee","May","Flood",0,0,"5K",5,"K","","",NA,NA,NA,NA,"Lauderdale",47,48,8087.5,100,1.6175
1996,5567878,"Kentucky","May","Flash Flood",0,0,"3K",3,"K","Countywide","Countywide",NA,NA,NA,NA,"Grant",21,81,4852.5,100,1.6175
1996,5555323,"West Virginia","May","Flash Flood",0,0,"75K",75,"K","S Half","S Half",NA,NA,NA,NA,"Pendleton",54,71,121312.5,100,1.6175
